"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L122","void sg(String s)","M.sg(Ljava/lang/String;)V","L113","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","5","2","7","3","33.2842","6","301.137","44.9272","14","12","16.7298","50.1895","132.61","77.5499","115.717","67.6709","1","0","0","43","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L135","void foo()","Interface.foo()V","L134","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","11","2","11","13","-nan(ind)","0","-nan(ind)","-nan(ind)","0","0","-nan(ind)","-nan(ind)","0","0","0","0","1","0","0","5","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L136","void goo()","Interface.goo()V","L134","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","12","2","12","13","-nan(ind)","0","-nan(ind)","-nan(ind)","0","0","-nan(ind)","-nan(ind)","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","void hoo()","Interface.hoo()V","L134","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","13","3","15","4","-nan(ind)","0","-nan(ind)","-nan(ind)","0","0","-nan(ind)","-nan(ind)","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","void base()","Base.base()V","L139","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","19","2","21","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L149","void foo()","Abstract.foo()V","L142","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","25","2","27","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","void goo()","Child1.goo()V","L150","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","31","2","33","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","void foo()","Child1.foo()V","L150","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","34","2","36","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","3","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","void child1()","Child1.child1()V","L150","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","37","2","39","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L160","void goo()","Child2.goo()V","L158","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","43","2","45","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L161","void hoo()","Child2.hoo()V","L158","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","46","3","48","4","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L164","void interfaceTest(Interface interf)","Helper.interfaceTest(LInterface;)V","L162","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","54","2","57","3","33.2842","6","344.156","49.1101","16","12","19.1198","57.3594","127.255","74.4184","107.992","63.1531","1","0","0","1","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","<T extends Interface> void genericMethod(T t)","Helper.genericMethod(LInterface;)V","L162","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","58","2","61","3","51.0195","7.5","600","71.1379","20","16","33.3333","80","125.525","73.4067","105.496","61.6936","1","0","0","1","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","Child1 instantiateChild1()","Helper.instantiateChild1()LChild1;","L162","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","62","2","65","3","35.2193","5","268.872","41.6579","15","12","14.9373","53.7744","127.591","74.6147","108.476","63.4362","1","0","0","1","1","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","void generic(T t)","Generic1.generic(LInterface;)V","L176","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","70","2","73","3","33.2842","6","344.156","49.1101","16","12","19.1198","57.3594","127.255","74.4184","107.992","63.1531","1","0","0","4","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185","void generic(T t, K k)","Generic2.generic(LInterface;LGeneric1;)V","L183","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","77","2","81","3","46.0537","9.625","902.492","93.389","24","15","50.1384","93.7654","121.085","70.8099","99.0897","57.9472","1","0","0","3","3","0","0","0","0","0","5","5","3","2","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","void foo()","Generic3.foo()V","L200","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","85","2","88","3","40.0537","5.5","325.639","47.3323","16","13","18.091","59.207","127.091","74.322","107.754","63.014","1","0","0","1","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L209","void inner()","Outer.inner()V","L207","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","92","2","95","3","40.0537","5.5","345.991","49.2845","17","13","19.2217","62.9075","126.775","74.1376","107.299","62.7481","1","0","0","1","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","Init(Interface i)","Init.<init>(LInterface;)V","L221","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","124","2","127","3","36.5293","5.625","333.04","48.0467","16","13","18.5022","59.207","127.091","74.322","107.754","63.014","1","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L246","void staticInit()","StaticInit.staticInit()V","L238","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","141","2","143","3","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L248","boolean compare(int a1, int a2)","Lambda.compare(II)Z","L247","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","147","3","147","35","-nan(ind)","0","-nan(ind)","-nan(ind)","0","0","-nan(ind)","-nan(ind)","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","Constructor()","Constructor.<init>()V","L257","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","151","2","153","3","17.5098","3","81","18.7208","9","8","4.5","27","135.834","79.4352","120.368","70.3908","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","void foo()","Overload.foo()V","L259","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","157","2","159","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L262","void foo(int i)","Overload.foo(I)V","L259","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","160","2","162","3","24.4064","3.5","116.267","23.8217","10","10","6.4593","33.2193","134.756","78.8048","118.813","69.4813","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L264","<T extends Object> void foo(T t)","Overload.foo(Ljava/lang/Object;)V","L259","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","163","2","165","3","32","4","172.078","30.9374","12","12","9.5599","43.0195","133.412","78.0186","116.874","68.3471","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","void foo(int i, Object[] objects)","Overload.foo(I[Ljava/lang/Object;)V","L259","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","166","2","168","3","36.5293","4.5","216.476","36.0528","13","13","12.0264","48.1057","132.831","77.6788","116.035","67.8569","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L283","void foo()","ForParser.foo()V","L274","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","182","7","184","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","156.223","91.3586","1","0","0","1","1","0.25","1","0","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L284","void goo()","ForParser.goo()V","L274","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","186","7","188","3","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L285","Generic2<Child2, Generic1<Child2>> validMethod(Child2 c, Generic1<Child2> g, Class<?>[] objects)","ForParser.validMethod(LChild2;LGeneric1;[Ljava/lang/Class;)LGeneric2;","L274","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","190","2","196","3","84.9966","14.1667","3332.36","223.101","52","23","185.131","235.225","113.349","66.2858","87.9285","51.4202","1","0","0","1","2","0","0","0","0","0","6","7","4","3","6","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L306","<T extends Object, K extends Child2> Generic2<Child2, Generic1<Child2>> validGenericMethod(K c, Generic1<K> g, Class<?>[] objects)","ForParser.validGenericMethod(LChild2;LGeneric1;[Ljava/lang/Class;)LGeneric2;","L274","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","198","2","204","3","110.439","13.75","4098.27","256.095","62","28","227.682","298.056","112.118","65.5659","86.1525","50.3816","1","0","0","1","2","0","0","0","0","0","6","7","4","3","6","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L320","void main(String[] args)","CallEdgeExamples.main([Ljava/lang/String;)V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","223","2","236","3","108.797","53.6667","17658","678.101","70","26","980.999","329.031","97.8773","57.2382","65.608","38.3673","1","0","0","0","11","0","0","0","0","0","14","14","12","1","14","14","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L326","void polimorphic()","CallEdgeExamples.polimorphic()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","238","2","254","3","109.717","26.4","9916.79","461.581","79","27","550.933","375.636","97.1884","56.8353","64.6143","37.7861","1","0","0","1","7","0","0","0","0","0","14","17","12","0","14","17","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L328","void innerClass()","CallEdgeExamples.innerClass()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","256","2","261","3","42.8086","7.33333","586.333","70.0534","21","14","32.574","79.9545","121.914","71.2945","100.285","58.6462","1","0","0","1","2","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L330","void anonim()","CallEdgeExamples.anonim()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","263","2","281","3","72","16","3042.64","209.975","44","20","169.035","190.165","106.179","62.093","77.585","45.3714","1","0","0","1","4","0","0","0","0","0","10","12","6","0","17","19","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L332","void nested()","CallEdgeExamples.nested()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","283","2","288","3","60.6034","7.5","766.399","83.7472","25","17","42.5777","102.187","120.638","70.5484","98.4444","57.5699","1","0","0","1","3","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L334","void local()","CallEdgeExamples.local()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","290","2","299","3","40.0537","5.5","366.344","51.1987","18","13","20.3524","66.6079","122.863","71.8498","101.655","59.4474","1","0","0","1","2","0","0","0","0","0","5","6","3","0","9","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L336","void generic()","CallEdgeExamples.generic()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","301","2","319","3","175.736","28.3333","21863.9","781.902","146","39","1214.66","771.669","94.6453","55.3481","60.9453","35.6405","1","0","0","1","7","0","0","0","0","0","13","19","11","0","13","19","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L338","void init()","CallEdgeExamples.init()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","321","2","326","3","50.1057","6.5","558.685","67.8336","22","15","31.0381","85.9516","121.537","71.0745","99.7424","58.3289","1","0","0","1","3","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L342","void contructor()","CallEdgeExamples.contructor()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","328","2","332","3","30.5293","4.5","202.377","34.4699","13","11","11.2432","44.9726","128.521","75.1582","109.817","64.2204","1","0","0","1","2","0","0","0","0","0","4","5","2","0","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L340","void lambda()","CallEdgeExamples.lambda()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","334","2","339","3","40.139","5.4","390.635","53.4376","19","14","21.7019","72.3397","122.434","71.5988","101.036","59.0853","1","0","0","1","2","0","0","0","0","0","5","6","3","0","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L344","void overload()","CallEdgeExamples.overload()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","340","2","348","3","68.8127","14","2480.79","183.257","41","20","137.821","177.199","110.161","64.4218","83.33","48.731","1","0","0","1","5","0","0","0","0","0","8","9","6","0","8","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L346","void parser()","CallEdgeExamples.parser()V","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","350","2","357","3","47.7744","12","1453.36","128.307","31","15","80.7424","121.114","114.303","66.844","89.3057","52.2256","1","0","0","1","3","0","0","0","0","0","7","8","5","0","7","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","void inner()","Outer$Inner.inner()V","L212","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","98","3","100","4","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L219","void staticNested()","Outer$Nested.staticNested()V","L217","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","104","3","106","4","26","4","132.877","26.0396","10","10","7.38206","33.2193","134.756","78.8048","118.813","69.4813","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L220","void nested()","Outer$Nested.nested()V","L217","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","108","3","110","4","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L360","void foo()","CallEdgeExamples$1.foo()V","L359","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","267","4","269","5","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","void generic(Child1 c)","CallEdgeExamples$2.generic(LChild1;)V","L364","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","275","4","278","5","33.2842","6","344.156","49.1101","16","12","19.1198","57.3594","127.255","74.4184","107.992","63.1531","1","0","0","0","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L374","void foo()","CallEdgeExamples$1Local.foo()V","L372","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","294","4","296","5","21.6515","3.5","99.8526","21.5232","9","9","5.54737","28.5293","135.548","79.2676","119.955","70.149","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
