"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L113","M","M","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","4","1","8","2","1","0","0","1","0","21","44","0","1","0.5","0.285714","2","2","1","1","0.285714","2","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L139","Base","Base","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","18","1","22","2","1","0","0","1","1","3","1","1","2","0","0","0","0","0","2","0","0","0","0","2","5","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","Abstract","Abstract","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","24","1","28","2","1","0","0","1","3","3","1","1","2","0","0","0","0","0","2","0","0","1","2","2","3","2","5","5","0","0","0","0","1","0","1","0","4","1","0","4","0","5","5","0","0","0","0","1","0","1","0","4","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L150","Child1","Child1","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","30","1","40","2","3","0","0","3","3","5","3","1","4","0","0","0","0","0","4","0","0","2","3","1","1","2","11","11","0","0","0","0","3","0","3","0","5","3","0","5","0","11","11","0","0","0","0","3","0","3","0","5","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","Child2","Child2","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","42","1","50","2","2","0","0","2","3","2","0","1","3","0","0","0","0","0","3","0","0","2","3","0","0","2","8","9","0","0","0","0","2","0","2","0","4","2","0","4","0","8","9","0","0","0","0","2","0","2","0","4","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","Helper","Helper","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","53","1","66","2","3","0","0","3","3","2","3","2","5","0","0","0","0","0","4","0","0","0","0","0","0","0","14","14","0","0","0","0","3","0","3","0","3","6","0","3","0","14","14","0","0","0","0","3","0","3","0","3","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","Generic1<T extends Interface>","Generic1","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","69","1","74","2","1","0","0","1","2","5","4","2","3","0","0","0","0","0","2","0","0","0","0","2","2","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L183","Generic2<T extends Interface, K extends Generic1<T>>","Generic2","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","76","1","82","2","1","0","0","1","3","2","3","3","4","0","0","0","0","0","2","0","0","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","3","0","1","0","7","7","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L200","Generic3","Generic3","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","84","1","89","2","1","0","0","1","3","1","1","2","3","0","0","0","0","0","2","0","0","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","Outer","Outer","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","91","1","112","2","1","0","0","1","2","1","1","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","2","0","1","0","19","22","0","0","0","0","4","0","4","0","4","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","Init","Init","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","114","1","128","2","0","0","0","1","3","1","1","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","14","15","4","0","4","0","1","0","1","0","1","2","0","1","0","14","15","4","0","4","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L238","StaticInit","StaticInit","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","130","1","144","2","1","0","0","1","2","1","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","13","15","2","0","2","0","1","0","0","0","1","1","0","0","0","13","15","2","0","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","Constructor","Constructor","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","150","1","154","2","0","0","0","1","1","1","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","Overload","Overload","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","156","1","169","2","4","0","0","4","1","1","1","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","14","14","0","0","0","0","4","0","0","0","4","4","0","0","0","14","14","0","0","0","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L274","ForParser","ForParser","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","171","1","205","2","4","0","0","4","5","1","2","2","6","0","0.266667","8","7","0","1","0.266667","8","0","0","0","0","0","22","35","2","0","2","0","4","0","0","0","4","10","0","0","0","22","35","2","0","2","0","4","0","0","0","4","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L317","CallEdgeExamples","CallEdgeExamples","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","222","1","366","2","1","0","0","12","19","0","0","29","41","0.5","0.130435","15","15","1","1","0.116279","15","0","0","0","0","0","100","131","1","0","1","0","12","0","1","0","12","70","0","1","0","114","145","1","0","1","0","16","0","5","0","23","75","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","Outer$Inner","Outer$Inner","L207","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","97","2","101","3","1","0","0","1","1","1","1","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","Outer$Nested","Outer$Nested","L207","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","103","2","111","3","2","0","0","2","1","1","1","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","8","9","0","0","0","0","2","0","2","0","2","2","0","2","0","8","9","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L321","CallEdgeExamples$1","CallEdgeExamples$1","L317","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","224","46","228","6","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","5","5","0","0","0","0","1","0","1","0","2","1","0","2","0","5","5","0","0","0","0","1","0","1","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","CallEdgeExamples$2","CallEdgeExamples$2","L334","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","273","28","277","4","1","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","3","4","0","0","1","5","5","0","0","0","0","1","0","1","0","6","1","0","6","0","5","5","0","0","0","0","1","0","1","0","6","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L370","CallEdgeExamples$3","CallEdgeExamples$3","L334","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","281","48","286","4","1","0","0","1","4","0","0","2","3","0","0","0","0","0","2","0","0","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L378","CallEdgeExamples$1Local","CallEdgeExamples$1Local","L338","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","300","3","304","4","1","0","0","1","1","1","1","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
